MIDI,NAME,TAB_c,ALT_TAB_c,TAB_d,ALT_TAB_d,FREQ,MIN FREQ,MAX FREQ,HOLE,DRAW,SLIDE,STAFF SHARP,STAFF FLAT,LEDGER SHARP,LEDGER FLAT
0, ,na,na,na,na,8.18,0,8.42,0,0,0,-99,-99,-99,-99
1, ,na,na,na,na,8.66,8.42,8.92,0,0,0,-99,-99,-99,-99
2, ,na,na,na,na,9.18,8.92,9.45,0,0,0,-99,-99,-99,-99
3, ,na,na,na,na,9.72,9.45,10.01,0,0,0,-99,-99,-99,-99
4, ,na,na,na,na,10.3,10.01,10.605,0,0,0,-99,-99,-99,-99
5, ,na,na,na,na,10.91,10.605,11.235,0,0,0,-99,-99,-99,-99
6, ,na,na,na,na,11.56,11.235,11.905,0,0,0,-99,-99,-99,-99
7, ,na,na,na,na,12.25,11.905,12.615,0,0,0,-99,-99,-99,-99
8, ,na,na,na,na,12.98,12.615,13.365,0,0,0,-99,-99,-99,-99
9, ,na,na,na,na,13.75,13.365,14.16,0,0,0,-99,-99,-99,-99
10, ,na,na,na,na,14.57,14.16,15,0,0,0,-99,-99,-99,-99
11, ,na,na,na,na,15.43,15,15.89,0,0,0,-99,-99,-99,-99
12, ,na,na,na,na,16.35,15.89,16.835,0,0,0,-99,-99,-99,-99
13, ,na,na,na,na,17.32,16.835,17.835,0,0,0,-99,-99,-99,-99
14, ,na,na,na,na,18.35,17.835,18.9,0,0,0,-99,-99,-99,-99
15, ,na,na,na,na,19.45,18.9,20.025,0,0,0,-99,-99,-99,-99
16, ,na,na,na,na,20.6,20.025,21.215,0,0,0,-99,-99,-99,-99
17, ,na,na,na,na,21.83,21.215,22.475,0,0,0,-99,-99,-99,-99
18, ,na,na,na,na,23.12,22.475,23.81,0,0,0,-99,-99,-99,-99
19, ,na,na,na,na,24.5,23.81,25.23,0,0,0,-99,-99,-99,-99
20, ,na,na,na,na,25.96,25.23,26.73,0,0,0,-99,-99,-99,-99
21,A0,na,na,na,na,27.5,26.73,28.32,0,0,0,-99,-99,-99,-99
22,A#0/Bb0,na,na,na,na,29.14,28.32,30.005,0,0,0,-99,-99,-99,-99
23,B0,na,na,na,na,30.87,30.005,31.785,0,0,0,-99,-99,-99,-99
24,C1,na,na,na,na,32.7,31.785,33.675,0,0,0,-99,-99,-99,-99
25,C#1/Db1,na,na,na,na,34.65,33.675,35.68,0,0,0,-99,-99,-99,-99
26,D1,na,na,na,na,36.71,35.68,37.8,0,0,0,-99,-99,-99,-99
27,D#1/Eb1,na,na,na,na,38.89,37.8,40.045,0,0,0,-99,-99,-99,-99
28,E1,na,na,na,na,41.2,40.045,42.425,0,0,0,-99,-99,-99,-99
29,F1,na,na,na,na,43.65,42.425,44.95,0,0,0,-99,-99,-99,-99
30,F#1/Gb1,na,na,na,na,46.25,44.95,47.625,0,0,0,-99,-99,-99,-99
31,G1,na,na,na,na,49,47.625,50.455,0,0,0,-99,-99,-99,-99
32,G#1/Ab1,na,na,na,na,51.91,50.455,53.455,0,0,0,-99,-99,-99,-99
33,A1,na,na,na,na,55,53.455,56.635,0,0,0,-99,-99,-99,-99
34,A#1/Bb1,na,na,na,na,58.27,56.635,60.005,0,0,0,-99,-99,-99,-99
35,B1,na,na,na,na,61.74,60.005,63.575,0,0,0,-99,-99,-99,-99
36,C2,na,na,na,na,65.41,63.575,67.355,0,0,0,-99,-99,-99,-99
37,C#2/Db2,na,na,na,na,69.3,67.355,71.36,0,0,0,-99,-99,-99,-99
38,D2,na,na,na,na,73.42,71.36,75.6,0,0,0,-99,-99,-99,-99
39,D#2/Eb2,na,na,na,na,77.78,75.6,80.095,0,0,0,-99,-99,-99,-99
40,E2,na,na,na,na,82.41,80.095,84.86,0,0,0,-99,-99,-99,-99
41,F2,na,na,na,na,87.31,84.86,89.905,0,0,0,-99,-99,-99,-99
42,F#2/Gb2,na,na,na,na,92.5,89.905,95.25,0,0,0,-99,-99,-99,-99
43,G2,na,na,na,na,98,95.25,100.915,0,0,0,-99,-99,-99,-99
44,G#2/Ab2,na,na,na,na,103.83,100.915,106.915,0,0,0,-99,-99,-99,-99
45,A2,na,na,na,na,110,106.915,113.27,0,0,0,-99,-99,-99,-99
46,A#2/Bb2,na,na,na,na,116.54,113.27,120.005,0,0,0,-99,-99,-99,-99
47,B2,na,na,na,na,123.47,120.005,127.14,0,0,0,-99,-99,-99,-99
48,C3,na,na,na,na,130.81,127.14,134.7,0,0,0,-99,-99,-99,-99
49,C#3/Db3,na,na,na,na,138.59,134.7,142.71,0,0,0,-99,-99,-99,-99
50,D3,na,na,na,na,146.83,142.71,151.195,0,0,0,-99,-99,-99,-99
51,D#3/Eb3,na,na,na,na,155.56,151.195,160.185,0,0,0,-99,-99,-99,-99
52,E3,na,na,na,na,164.81,160.185,169.71,0,0,0,-99,-99,-99,-99
53,F3,na,na,na,na,174.61,169.71,179.805,0,0,0,-99,-99,-99,-99
54,F#3/Gb3,na,na,na,na,185,179.805,190.5,0,0,0,-99,-99,-99,-99
55,G3,na,na,na,na,196,190.5,201.825,0,0,0,-99,-99,-99,-99
56,G#3/Ab3,na,na,na,na,207.65,201.825,213.825,0,0,0,-99,-99,-99,-99
57,A3,na,na,na,na,220,213.825,226.54,0,0,0,-99,-99,-99,-99
58,A#3/Bb3,na,na,na,na,233.08,226.54,240.01,0,0,0,-99,-99,-99,-99
59,B3,na,na,na,na,246.94,240.01,254.285,0,0,0,-99,-99,-99,-99
60,C4,1,1,1,1,261.63,254.285,269.405,1,0,0,0,0,-1,-1
61,C#4/Db4,1*,1*,-1’,-1’,277.18,269.405,285.42,1,0,1,0,1,-1,0
62,D4,-1,-1,-1,-1,293.66,285.42,302.395,1,1,0,1,1,0,0
63,D#4/Eb4,-1*,-1*,na,na,311.13,302.395,320.38,1,1,1,1,2,0,0
64,E4,2,2,2,2,329.63,320.38,339.43,2,0,0,3,3,0,0
65,F4,-2,2*,-2'',-2'',349.23,339.43,359.61,2,1,0,4,4,0,0
66,F#4/Gb4,-2*,-2*,-2’,-2’,369.99,359.61,380.995,2,1,1,4,5,0,0
67,G4,3,3,-2,3,392,380.995,403.65,3,0,0,5,5,0,0
68,G#4/Ab4,3*,3*,-3''',-3''',415.3,403.65,427.65,3,0,1,5,6,0,0
69,"A4 ",-3,-3,-3'',-3'',440,427.65,453.08,3,1,0,6,6,0,0
70,A#4/Bb4,-3*,-3*,-3',-3',466.16,453.08,480.02,3,1,1,6,7,0,0
71,B4,-4,-4,-3,-3,493.88,480.02,508.565,4,1,0,7,7,0,0
72,C5,5,-4*,4,4,523.25,508.565,538.81,5,0,0,8,8,0,0
73,C#5/Db5,5*,5*,-4',-4',554.37,538.81,570.85,5,0,1,8,9,0,0
74,D5,-5,-5,-4,-4,587.33,570.85,604.79,5,1,0,9,9,0,0
75,D#5/Eb5,-5*,-5*,na,na,622.25,604.79,640.755,5,1,1,9,10,0,0
76,E5,6,6,5,5,659.26,640.755,678.86,6,0,0,10,10,0,0
77,F5,-6,6*,-5,-5,698.46,678.86,719.225,6,1,0,11,11,0,0
78,F#5/Gb5,-6*,-6*,na,na,739.99,719.225,761.99,6,1,1,11,12,0,0
79,G5,7,7,6,6,783.99,761.99,807.3,7,0,0,12,12,0,0
80,G#5/Ab5,7*,7*,-6',-6',830.61,807.3,855.305,7,0,1,12,13,0,1
81,A5,-7,-7,-6,-6,880,855.305,906.165,7,1,0,14,14,1,1
82,A#5/Bb5,-7*,-7*,na,na,932.33,906.165,960.05,7,1,1,14,15,1,1
83,B5,-8,-8,-7,-7,987.77,960.05,1017.135,8,1,0,15,15,1,1
84,C6,9,-8*,7,7,1046.5,1017.135,1077.615,9,0,0,16,16,2,2
85,C#6/Db6,9*,9*,na,na,1108.73,1077.615,1141.695,9,0,1,16,17,2,2
86,D6,-9,-9,-8,-8,1174.66,1141.695,1209.585,9,1,0,17,17,2,2
87,D#6/Eb6,-9*,-9*,8’,8’,1244.51,1209.585,1281.51,9,1,1,17,18,2,3
88,E6,10,10,8,8,1318.51,1281.51,1357.71,10,0,0,18,18,3,3
89,F6,-10,10*,-9,-9,1396.91,1357.71,1438.445,10,1,0,19,19,3,3
90,F#6/Gb6,-10*,-10*,9’,9’,1479.98,1438.445,1523.98,10,1,1,19,20,3,4
91,G6,11,11,9,9,1567.98,1523.98,1614.6,11,0,0,20,20,4,4
92,G#6/Ab6,11*,11*,na,na,1661.22,1614.6,1710.61,11,0,1,20,21,4,4
93,A6,-11,-11,-10,-10,1760,1710.61,1812.33,11,1,0,22,22,4,4
94,A#6/Bb6,-11*,-11*,10’’,10’’,1864.66,1812.33,1920.095,11,1,1,22,23,4,5
95,B6,-12,-12,10’,10’,1975.53,1920.095,2034.265,12,1,0,23,23,5,5
96,C7,12,12,10,10,2093,2034.265,2155.23,12,0,0,24,24,5,5
97,C#7/Db7,12*,12*,na,na,2217.46,2155.23,2283.39,12,0,1,24,25,5,6
98,D7,-12*,-12*,na,na,2349.32,2283.39,2419.17,12,1,1,25,25,6,6
99,D#7/Eb7,na,na,na,na,2489.02,2419.17,2563.02,0,0,0,99,99,99,99
100,E7,na,na,na,na,2637.02,2563.02,2715.425,0,0,0,99,99,99,99
101,F7,na,na,na,na,2793.83,2715.425,2876.895,0,0,0,99,99,99,99
102,F#7/Gb7,na,na,na,na,2959.96,2876.895,3047.96,0,0,0,99,99,99,99
103,G7,na,na,na,na,3135.96,3047.96,3229.2,0,0,0,99,99,99,99
104,G#7/Ab7,na,na,na,na,3322.44,3229.2,3421.22,0,0,0,99,99,99,99
105,A7,na,na,na,na,3520,3421.22,3624.655,0,0,0,99,99,99,99
106,A#7/Bb7,na,na,na,na,3729.31,3624.655,3840.19,0,0,0,99,99,99,99
107,B7,na,na,na,na,3951.07,3840.19,4068.54,0,0,0,99,99,99,99
108,C8,na,na,na,na,4186.01,4068.54,4310.465,0,0,0,99,99,99,99
109,C#8/Db8,na,na,na,na,4434.92,4310.465,4566.78,0,0,0,99,99,99,99
110,D8,na,na,na,na,4698.64,4566.78,4838.335,0,0,0,99,99,99,99
111,D#8/Eb8,na,na,na,na,4978.03,4838.335,5126.035,0,0,0,99,99,99,99
112,E8,na,na,na,na,5274.04,5126.035,5430.845,0,0,0,99,99,99,99
113,F8,na,na,na,na,5587.65,5430.845,5753.78,0,0,0,99,99,99,99
114,F#8/Gb8,na,na,na,na,5919.91,5753.78,6095.92,0,0,0,99,99,99,99
115,G8,na,na,na,na,6271.93,6095.92,6458.405,0,0,0,99,99,99,99
116,G#8/Ab8,na,na,na,na,6644.88,6458.405,6842.44,0,0,0,99,99,99,99
117,A8,na,na,na,na,7040,6842.44,7249.31,0,0,0,99,99,99,99
118,A#8/Bb8,na,na,na,na,7458.62,7249.31,7680.375,0,0,0,99,99,99,99
119,B8,na,na,na,na,7902.13,7680.375,8137.075,0,0,0,99,99,99,99
120,C9,na,na,na,na,8372.02,8137.075,8620.93,0,0,0,99,99,99,99
121,C#9/Db9,na,na,na,na,8869.84,8620.93,9133.555,0,0,0,99,99,99,99
122,D9,na,na,na,na,9397.27,9133.555,9676.665,0,0,0,99,99,99,99
123,D#9/Eb9,na,na,na,na,9956.06,9676.665,10252.07,0,0,0,99,99,99,99
124,E9,na,na,na,na,10548.08,10252.07,10861.69,0,0,0,99,99,99,99
125,F9,na,na,na,na,11175.3,10861.69,11507.56,0,0,0,99,99,99,99
126,F#9/Gb9,na,na,na,na,11839.82,11507.56,12191.835,0,0,0,99,99,99,99
127,G9,,,,,12543.85,12191.835,200000,0,0,0,99,99,99,99
